sentid	sent	start	finish	error	correction	tag	levenstein	lemmaequal	grammequal	stemequal	lenorig	lencorr	bastard	pos1	pos2
318	Во всех этих книгах написано о таинственных загадках бермудского треугольника, о всех тех сверхъестественных и необъяснимых вещах, которые происходят в Бермуском треугольнике. 	9	9	бермудского		orpho	11	0	0	0	1	0	0	A=(вин 	
318	Во всех этих книгах написано о таинственных загадках бермудского треугольника, о всех тех сверхъестественных и необъяснимых вещах, которые происходят в Бермуском треугольнике. 	21	21	Бермуском		typo	9	0	0	0	1	0	0	S 	
324	.Винер, вышел в 1970 году и он был основан на загадка и мистификации Бермудского треугольника. 	11	11	загадка		typo?	7	0	0	0	1	0	0	S 	
326	.Куше, который вышел в 1976, был противоположен первому. 	7	7	противоположен		lex?	14	0	0	0	1	0	0	V 	
327	Куше опровергал всю мистификацию и вымысел. 	6	6	вымысел		lex?	7	0	0	0	1	0	0	S 	
328	Первый необычный случай в Бермудском треугольнике произошел в 1840 году. 	4	4	в		lex?	1	0	0	0	1	0	0	S 	
329	Французское парусное судно « Розали» было обнаружено недалеко от порта Нассау в дрейфе. 	4	4	Розали		typo	6	0	0	0	1	0	0	S 	
329	Французское парусное судно « Розали» было обнаружено недалеко от порта Нассау в дрейфе. 	4	4	Розали		typo	6	0	0	0	1	0	0	S 	
329	Французское парусное судно « Розали» было обнаружено недалеко от порта Нассау в дрейфе. 	4	4	Розали		typo	6	0	0	0	1	0	0	S 	
333	Надпись на судне была затерта, что привело к названию « Розалини». 	9	9	названию		constr?	8	0	0	0	1	0	0	S 	
335	.Появилась так же другая теория, утверждающая то что судно попало в какой- то странный водоворот, состав команды утонул, и судно осталось без управления. 	14	14	состав		lex?	6	0	0	0	1	0	0	S 	
335	.Появилась так же другая теория, утверждающая то что судно попало в какой- то странный водоворот, состав команды утонул, и судно осталось без управления. 	14	14	состав		lex?	6	0	0	0	1	0	0	S 	
336	Так как судно было обнаружено на участке моря между Бермудскими островами, Майями во Флориде и Пуерто- Рико, ,то эти места так же отнесли к опасному треугольнику. 	16	17	Пуерто Рико 	Пуэрто- -Рико, 	typo	4	0	0	0	3	3	0	S  S 	ADV=  S 
337	Так же седьмого ноября 1872 года « Мария Целеста», новая бригантина, вышла из Нью- Йорка, ,под командованием Бенжамина Бриггса, и взяла курс на Гибралтар. 	1	2	Так же 	Также 	orpho	1	0	0	0	3	2	0	ADVPRO=  PART= 	ADV= 
355	Другое говорили, что в судьбу бригантины вмешались сверхъестественные силы. 	1	1	Другое		coord	6	0	0	0	1	0	0	APRO=(вин 	
356	Так же были люди, которые вспомнили о судне « Розали» и предположили, что « Мария Целеста» так же села на мель. 	9	9	Розали		typo?	6	0	0	0	1	0	0	S 	
359	В 1880 году пропал корабль « Аталанта», 1881- «Эллен Остин», в 1902- «Фрея». 	6	6	Аталанта		typo?	8	0	0	0	1	0	0	S 	
368	Ровно через год, почти на этом же месте, исчаз самолет, на борту которого находились 42 человека. 	9	9	исчаз		typo	5	0	0	0	1	0	0	ADV= 	
371	В марте 1973 года « Анита» попала в шторм в районе Бермудского треугольника, ни каких сигналов бедствия не было подано, но через несколько дней в море был найден единственный круг с надписью « Анита». 	13	14	ни каких 	никаких 	orpho	1	0	0	0	3	2	0	PART=  APRO=(пр 	APRO=(пр 
371	В марте 1973 года « Анита» попала в шторм в районе Бермудского треугольника, ни каких сигналов бедствия не было подано, но через несколько дней в море был найден единственный круг с надписью « Анита». 	28	28	единственный		lex?	12	0	0	0	1	0	0	A=(вин 	
454	Автор статьи излагает положительные и отрицательные стороны строения многоэтажных и малоэтажных домов. 	8	8	строения		lex	8	0	0	0	1	0	0	S 	
456	В статье анализируются вопросы экологии, стоимости строения, индивидуальные планы застроек, и т. 	7	7	строения		lex	8	0	0	0	1	0	0	S 	
482	авторы и читатели не восприминают старую литературу как ценность, а наоборот, ищут новизны– новизны идей, тем, способов выражения и т. 	5	5	восприминают		morph	12	0	0	0	1	0	0	V 	
485	всё время на глазах, её поддерживает мода: критика, журналы, интернет. 	6	6	поддерживает		coord	12	0	0	0	1	0	0	V 	
487	Прежде всего, его интересует чему посещано произведение, какое положение занимал/ / занимает автор, и насколько он авторитетен в церковном и государственном отношении. 	21	21	отношении		coord	9	0	0	0	1	0	0	S 	
487	Прежде всего, его интересует чему посещано произведение, какое положение занимал/ / занимает автор, и насколько он авторитетен в церковном и государственном отношении. 	21	21	отношении		coord	9	0	0	0	1	0	0	S 	
489	вперед является не только появление новых произведений, а вообще все произведения в чит. 	0	8		и 	syntax	2	0	0	0	0	2	0		CONJ= 
659	С 1800- ых годов человеческое население на Земле увеличелос в шесть раз. 	2	3	1800 ых 	1800-ых 	orpho	1	0	0	0	3	2	0	   	   
659	С 1800- ых годов человеческое население на Земле увеличелос в шесть раз. 	9	9	увеличелос		orpho, typo, morph	10	0	0	0	1	0	0	S 	
661	Прогнозы учёных предсказывают, что в 2050- м году население нашей планеты достигнет 9 миллиардов людей. 	15	15	людей		lex	5	0	0	0	1	0	0	S 	
661	Прогнозы учёных предсказывают, что в 2050- м году население нашей планеты достигнет 9 миллиардов людей. 	15	15	людей		lex	5	0	0	0	1	0	0	S 	
795	Я не совсем согласна с вами по поводу того что в россии людям все равно кто выиграет на выборах. 	12	12	россии		typo	6	0	0	0	1	0	0	S 	
796	Я думаю что россияне, все таки, ,интересуются выборами в Америке, потому что результаты могут повлият как на Амеруку, так и на Россию. 	18	18	Амеруку		typo	7	0	0	0	1	0	0	S 	
796	Я думаю что россияне, все таки, ,интересуются выборами в Америке, потому что результаты могут повлият как на Амеруку, так и на Россию. 	18	18	Амеруку		typo	7	0	0	0	1	0	0	S 	
796	Я думаю что россияне, все таки, ,интересуются выборами в Америке, потому что результаты могут повлият как на Амеруку, так и на Россию. 	18	18	Амеруку		typo	7	0	0	0	1	0	0	S 	
798	И если он победит на выборах то есть вероятность того что начнется вторая холодня война. 	14	14	холодня		orpho	7	0	0	0	1	0	0	ADV= 	
1002	&l	5	5	неспециализировання	неспециализированная	morph	1	0	0	0	1	1	1	S 	A 
1005	Джордж Орвелл пишет про город, который не был в самом превликательном виде. 	11	11	превликательном		orpho	15	0	0	0	1	0	0	S 	
1010	.Б. разбирает социальные темы, созданые в романе Скотта Фитцджеральда «Великий Гэтсби». 	5	5	созданые		orpho, lex	8	0	0	0	1	0	0	S 	
1011	Самой главной темой произведения Фитцджеральда, по мнению автора статьи, является моральная и физическая гибель многих старающихся « выбиться в люди» в буржуазной Америке. 	5	5	Фитцджеральда		orpho	13	0	0	0	1	0	0	S 	
1013	Идеологическая сфера СССР воздействовала на идеи автора. 	1	3	СССР		syntax	4	0	0	0	1	0	0	S 	
1013	Идеологическая сфера СССР воздействовала на идеи автора. 	5	7	автора		syntax	6	0	0	0	1	0	0	S 	
1014	Колесникова сосредоточилась на специфических отрывках текста, сфокусированых на неприглядных моментх Америки в 20- х годах. 	7	7	сфокусированых		orpho	14	0	0	0	1	0	0	A=(пр 	
1014	Колесникова сосредоточилась на специфических отрывках текста, сфокусированых на неприглядных моментх Америки в 20- х годах. 	7	7	сфокусированых		orpho	14	0	0	0	1	0	0	A=(пр 	
1014	Колесникова сосредоточилась на специфических отрывках текста, сфокусированых на неприглядных моментх Америки в 20- х годах. 	7	7	сфокусированых		orpho	14	0	0	0	1	0	0	A=(пр 	
1014	Колесникова сосредоточилась на специфических отрывках текста, сфокусированых на неприглядных моментх Америки в 20- х годах. 	7	7	сфокусированых		orpho	14	0	0	0	1	0	0	A=(пр 	
1016	Это положение дало автору статьи возможность анализировать иностранную литературу в свете шаблонного Советского мировозрения. 	13	14	мировозрения		orpho	12	0	0	0	1	0	0	S 	
1017	Колесникова считает, что характеры, созданные Фитцджеральдом показывают отрицательные стороны американской жизни 20- х годов. 	4	4	характеры		lex, calque u2019charactersu2019	9	0	0	0	1	0	0	S 	
1017	Колесникова считает, что характеры, созданные Фитцджеральдом показывают отрицательные стороны американской жизни 20- х годов. 	4	4	характеры		lex, calque u2019charactersu2019	9	0	0	0	1	0	0	S 	
1017	Колесникова считает, что характеры, созданные Фитцджеральдом показывают отрицательные стороны американской жизни 20- х годов. 	4	4	характеры		lex, calque u2019charactersu2019	9	0	0	0	1	0	0	S 	
1018	Она считает, что богатство- это стремление большей части американского общества, и оно ни когда не приводит человека к счастью. 	6	6	стремление		lex	10	0	0	0	1	0	0	S 	
1018	Она считает, что богатство- это стремление большей части американского общества, и оно ни когда не приводит человека к счастью. 	13	14	ни когда 	никогда 	orpho	1	0	0	0	3	2	0	PART=  ADVPRO= 	ADVPRO= 
1019	Главный герой- Гэтсби, добивается американской мечты, но в итоге преобретает «духовную нищету». 	10	10	преобретает		orpho	11	0	0	0	1	0	0	V=непрош 	
1020	И так как Американское буржазное общество не сравнимо с социалистическами идеалами Союза, автор романа, в рецензии Колесниковой, завершает историю его осуждением: «Фидцджеральд со всей силой своего таланта обвиняет господсвующий класс в аморальности общества... 	22	22	«Фидцджеральд		orpho	13	0	0	0	1	0	0	 S 	
1020	И так как Американское буржазное общество не сравнимо с социалистическами идеалами Союза, автор романа, в рецензии Колесниковой, завершает историю его осуждением: «Фидцджеральд со всей силой своего таланта обвиняет господсвующий класс в аморальности общества... 	22	22	«Фидцджеральд		orpho	13	0	0	0	1	0	0	 S 	
1020	И так как Американское буржазное общество не сравнимо с социалистическами идеалами Союза, автор романа, в рецензии Колесниковой, завершает историю его осуждением: «Фидцджеральд со всей силой своего таланта обвиняет господсвующий класс в аморальности общества... 	22	22	«Фидцджеральд		orpho	13	0	0	0	1	0	0	 S 	
1020	И так как Американское буржазное общество не сравнимо с социалистическами идеалами Союза, автор романа, в рецензии Колесниковой, завершает историю его осуждением: «Фидцджеральд со всей силой своего таланта обвиняет господсвующий класс в аморальности общества... 	22	22	«Фидцджеральд		orpho	13	0	0	0	1	0	0	 S 	
1020	И так как Американское буржазное общество не сравнимо с социалистическами идеалами Союза, автор романа, в рецензии Колесниковой, завершает историю его осуждением: «Фидцджеральд со всей силой своего таланта обвиняет господсвующий класс в аморальности общества... 	22	22	«Фидцджеральд		orpho	13	0	0	0	1	0	0	 S 	
1153	В это время, в начале 90- х годов, Чеченский кофликт еще можно было бы остановить. 	10	10	кофликт		orpho	7	0	0	0	1	0	0	S 	
1154	Люди с улыбками смотрели на иллюстрации и картинки, в которых было показаны танцы вокруг здания где заседало правительство. 	9	9	в		syntax	1	0	0	0	1	0	0	S 	
1154	Люди с улыбками смотрели на иллюстрации и картинки, в которых было показаны танцы вокруг здания где заседало правительство. 	9	9	в		syntax	1	0	0	0	1	0	0	S 	
1156	Чеченские экстремалы, которые выпускали пропаганду, вызывали у россиян сочуственное любопытство ( к бедным чеченцам». 	9	9	сочуственное		orpho	12	0	0	0	1	0	0	A=(вин 	
1157	К 1996 году у россиян наростало раздражение к Российскому правительству из- за неумения предпринять действия, чтобы остановить Чечню. 	6	6	наростало		orpho	9	0	0	0	1	0	0	V 	
1158	После террористических актов в Москве и в Волгодане абсолютное большенство россиян начали смотреть на чеченцев как на реальное зло. 	10	10	большенство		orpho	11	0	0	0	1	0	0	S 	
1198	Как на фабрике люди начали работать массово и производить много продуктов, в данном случае, обувь. 	11	11	продуктов		lex	9	0	0	0	1	0	0	S 	
1199	Я думаю что в принципе индустриализация это хорошо, хотя иногда бывает переизбыток продуктов. 	13	13	продуктов		lex	9	0	0	0	1	0	0	S 	
1201	Продукты пропадают. 	6	1	Продукты		lex?	8	0	0	0	1	0	0	S 	
1272	Как говорит &l	4	4	этот		constr	4	0	0	0	1	0	0	APRO=(вин 	
1273	Иммено по этой причиной, я решила поговорить о нем. 	4	4	причиной		gov	8	0	0	0	1	0	0	S 	
1279	Если такая работа даже существует, ,то она не широко распространенная. 	1	1	Если		syntax	4	0	0	0	1	0	0	CONJ= 	
1279	Если такая работа даже существует, ,то она не широко распространенная. 	4	5	даже существует 	существует, 	syntax	6	0	0	0	3	2	0	PART=  V 	V 
1280	Как сказала Мишель, очевидно, что есть в России мужская работа и женская работа. 	13	13	работа		lex	6	0	0	0	1	0	0	S 	
1280	Как сказала Мишель, очевидно, что есть в России мужская работа и женская работа. 	13	13	работа		lex	6	0	0	0	1	0	0	S 	
1281	И такие работы не совпадают. 	2	2	такие		ref	5	0	0	0	1	0	0	APRO=(им 	
1281	И такие работы не совпадают. 	3	3	работы		lex	6	0	0	0	1	0	0	S 	
1283	Она поговорила со студентами- это молодое поколение- и они думают, что достаточно» ето равенство. 	13	14	ето ето ето равенство 	равенство. 	syntax, orpho	13	0	0	0	5	2	0	S  S  S  S 	S  
1284	.Меня просто удивило, что такое логичное общество может так считать. 	5	5	логичное		lex	8	0	0	0	1	0	0	A=(вин 	
1289	Но, как сообщает Женя, есть группы, которые работают специфически над этой проблемой. 	9	9	специфически		syntax, lex	12	0	0	0	1	0	0	ADV= 	
1292	Без государственной помощи, я считаю, что проблема неразрешимая. 	8	8	неразрешимая		syntax	12	0	0	0	1	0	0	A=им 	
1322	Мне кажется, что мы живем на планете, где миллионы разных национальностей, и никто не имеем права говорить, что какая- то национальность хуже, а какая- то лучше. 	15	15	имеем		coord	5	0	0	0	1	0	0	V 	
1364	К примеру ни одно здание не будет принято к эксплуатации без подъезда инвалидной коляски или туалетной комнаты куда инвалид по размерам не может въехать. 	24	24	въехать		lex	7	0	0	0	1	0	0	V 	
1365	Проектирую проект архитекторы должны позаботиться об инвалидах и их удобстве. 	1	1	Проектирую		morph, coord	10	0	0	0	1	0	0	V 	
1365	Проектирую проект архитекторы должны позаботиться об инвалидах и их удобстве. 	2	2	проект		lex	6	0	0	0	1	0	0	S 	
1366	Я считаю, что отношение общества к ивалидам поменяется только тогда, когда государство поменяет свое отношение к ним. 	7	7	ивалидам		typo	8	0	0	0	1	0	0	S 	
1368	&l	3	4	разговор разговор формальный формальный 	формальный разговор, 	syntax	28	0	0	0	5	3	0	S  S  A=(вин  A=(вин 	A=(вин  S 
1368	&l	6	6	чего		lex	4	0	0	0	1	0	0	SPRO 	
1370	Всегда собеседование или скучное, или. 	1	2	Всегда собеседование собеседование 	Собеседование обычно 	lex, syntax	18	0	0	0	4	3	0	ADVPRO=  S  S 	S  ADV= 
1372	Я бы везде посадила клумбы с цветами. 	4	4	посадила		lex?	8	0	0	0	1	0	0	V 	
1375	Особенно на территории Парка, где много лавочек, и где студенты и профессора частенько едят ланч. 	4	4	Парка		orpho	5	0	0	0	1	0	0	S 	
1377	Так как я в Портландском Университете первый год, я еще не видела здесь цветущих клумб весной, и не могу сказать есть ли они здесь или нет. 	6	6	Университете		orpho	12	0	0	0	1	0	0	S 	
1379	Так же вокруг клумб всегда много бабочек и мне кажется, что это очень красиво и поднимает всегда всем настроение. 	1	2	Так же 	Также 	orpho	1	0	0	0	3	2	0	ADVPRO=  PART= 	ADV= 
1528	Главная Тема Работы: 	2	3	Работы		orpho	6	0	0	0	1	0	0	S 	
1530	.Путина на его имидж на Западе и в России. 	4	4	имидж		gov	5	0	0	0	1	0	0	S 	
1539	Вредят ли « некоректные» выражения интересам РФ. 	3	3	некоректные		orpho	11	0	0	0	1	0	0	A=(вин 	
1541	Изменился ли стиль Путина за период прибывания Путина в должности президента. 	7	7	прибывания		syntax, lex	10	0	0	0	1	0	0	S 	
1541	Изменился ли стиль Путина за период прибывания Путина в должности президента. 	8	8	Путина		syntax, orpho	6	0	0	0	1	0	0	S 	
1543	Oсобено важно, я считаю, рассмотреть речи Путина, потому что внутри страны он является очень популярным политиком и пользуется поддержкой большенства граждан России. 	1	1	Oсобено		orpho	7	0	0	0	1	0	0	A 	
1543	Oсобено важно, я считаю, рассмотреть речи Путина, потому что внутри страны он является очень популярным политиком и пользуется поддержкой большенства граждан России. 	20	20	большенства		orpho	11	0	0	0	1	0	0	S 	
1547	Привести примеры положительных и отрицательных высказываний в адресс Запада. 	8	8	адресс		morph	6	0	0	0	1	0	0	S 	
1548	На какую публику расчитаны необычные выражения Путина. 	4	4	расчитаны		orpho	9	0	0	0	1	0	0	V 	
1555	Является ли причиной недоверия к Путину его стиль речи, его острая критика США, его метафоры, его « некоректный» словарный запас? 	17	17	некоректный		orpho	11	0	0	0	1	0	0	A=(вин 	
1557	Как вообще влияют « некоректные» выражения Путина на интересы РФ во внешней политике. 	4	4	некоректные		orpho	11	0	0	0	1	0	0	A=(вин 	
1558	Приводит ли это к недоверию со стараны Запада к России, и влияет ли это на готовность Запада вести более тесные эконом 	7	7	стараны		orpho	7	0	0	0	1	0	0	S 	
1558	Приводит ли это к недоверию со стараны Запада к России, и влияет ли это на готовность Запада вести более тесные эконом 	21	21	эконом		syntax	6	0	0	0	1	0	0	S 	
1559	и полит 	2	2	полит		syntax	5	0	0	0	1	0	0	V 	
1564	Рассмотреть наличие острых и некоректных выражений в одной из важных речей В. 	5	5	некоректных		orpho	11	0	0	0	1	0	0	A=(пр 	
1567	.Путина на Мюнхенской конференции в 2007 году и проанализировать её на наличие выражения, которые могут показаться острыми, некоректными или наоборот необходимыми. 	18	18	некоректными		orpho	12	0	0	0	1	0	0	A=твор 	
1567	.Путина на Мюнхенской конференции в 2007 году и проанализировать её на наличие выражения, которые могут показаться острыми, некоректными или наоборот необходимыми. 	18	18	некоректными		orpho	12	0	0	0	1	0	0	A=твор 	
1615	: &g	4	4	бакалавра		lex	9	0	0	0	1	0	0	S 	
1617	Какой профессиональный предмет студенты сдают при поступлении? 	2	2	профессиональный		lex	16	0	0	0	1	0	0	A=(вин 	
1621	По результатам каких предметов зачисляются студенты на первый курс ( русский язык и иностранный)? 	4	4	предметов		lex	9	0	0	0	1	0	0	S 	
1621	По результатам каких предметов зачисляются студенты на первый курс ( русский язык и иностранный)? 	5	5	зачисляются		syntax	11	0	0	0	1	0	0	V 	
1661	Начая с младенчества, когда он произносит первые слов и выражения. 	1	1	Начая		morph	5	0	0	0	1	0	0	V 	
1661	Начая с младенчества, когда он произносит первые слов и выражения. 	8	8	слов		morph	4	0	0	0	1	0	0	S 	
1662	Когда он из слов складывает предложения, а из предложений учится писать целый рассказ. 	11	11	писать		lex	6	0	0	0	1	0	0	V 	
1666	Человек всегда совершенствуеся, а вместе с ним совершенстуется его речь и мыли т. 	3	3	совершенствуеся		orpho	15	0	0	0	1	0	0	S 	
1666	Человек всегда совершенствуеся, а вместе с ним совершенстуется его речь и мыли т. 	3	3	совершенствуеся		orpho	15	0	0	0	1	0	0	S 	
1666	Человек всегда совершенствуеся, а вместе с ним совершенстуется его речь и мыли т. 	3	3	совершенствуеся		orpho	15	0	0	0	1	0	0	S 	
1772	Дмитрий Иванович Менделеев- выдающийся всемирно- известный русский ученый. 	5	6	всемирно известный известный 	всемирно известный 	orpho	10	0	0	0	4	3	0	ADV=  A=(вин  A=(вин 	ADV=  A=(вин 
1775	Но не смотря на это Дмитрий продолжил учиться в университете и в 1856 году закончил физмат и защитил диссертацию. 	2	3	не смотря 	несмотря 	orpho	1	0	0	0	3	2	0	PART=  ADV= 	ADV= 
1780	Так же Д. 	1	2	Так же 	Также 	orpho	1	0	0	0	3	2	0	ADVPRO=  PART= 	ADV= 
1782	В честь Дмитрия, 101 элемент в периодической таблице химических элементво, назван Менделеев. 	10	10	элементво		typo	9	0	0	0	1	0	0	ADV= 	
2037	Многие решили сначала высказать свое понятие о культуре андерграунда. 	7	8	о о о культуре культуре 	культуры 	syntax	16	0	0	0	6	2	0	INTJ=  INTJ=  PR=  S  S 	S 
2042	Более того, культура андерграунда напоминает Кристиану форму «восстания», некого бунта. 	9	9	некого		orpho	6	0	0	0	1	0	0	SPRO 	
2046	&l	7	9	российский		constr, syntax	10	0	0	0	1	0	0	A=(вин 	
2046	&l	12	13	к этому 	этому 	syntax	2	0	0	0	3	2	0	PR=  SPRO 	SPRO 
2047	&l	10	10	подходит		lex	8	0	0	0	1	0	0	V 	
2048	&l	3	3	представляет		lex	12	0	0	0	1	0	0	V 	
2049	Хотя их действия часто преследуется законом, именно через них создается база для будущего в искусстве. 	5	5	преследуется		coord	12	0	0	0	1	0	0	V 	
2052	Например, &l	12	12	изменятся		orpho	9	0	0	0	1	0	0	V 	
2052	Например, &l	15	16	в в перед 	вперед. 	orpho	4	0	0	0	4	2	0	PR=  PR=  PR= 	ADV=  
2096	? &g	2	2	просмотра		lex	9	0	0	0	1	0	0	S 	
2097	М. Лотмана, ,я увидела как сильно мода изменилась в XVIII и начале XIX вв. 	7	8	изменилась		syntax	10	0	0	0	1	0	0	V 	
2103	Так же другая причина- богатое воображение дизайнеров. 	1	2	Так же 	Также 	orpho	1	0	0	0	3	2	0	ADVPRO=  PART= 	ADV= 
2107	? &g	15	15	меняется		constr	8	0	0	0	1	0	0	V 	
2107	? &g	15	15	меняется		constr	8	0	0	0	1	0	0	V 	
2124	Подростки, которые привыкли к нездоровой и вредной для них пище, выростают в нездоровых взрослых. 	11	11	выростают		orpho	9	0	0	0	1	0	0	V 	
2125	Эти нездоровые взрослые в будущем будут нагружать медецинскую систему всей страны. 	6	6	будут		lex	5	0	0	0	1	0	0	V 	
2125	Эти нездоровые взрослые в будущем будут нагружать медецинскую систему всей страны. 	8	8	медецинскую		orpho	11	0	0	0	1	0	0	A=вин 	
2126	Государство будет вынуждено расходовать ресурсы, которые могли бы быть испольсованны на что- то другое, а не на заботу о них. 	10	10	испольсованны		orpho, morph	13	0	0	0	1	0	0	A=мн 	
2126	Государство будет вынуждено расходовать ресурсы, которые могли бы быть испольсованны на что- то другое, а не на заботу о них. 	12	13	что то 	что-то 	orpho	1	0	0	0	3	2	0	CONJ=  PART= 	SPRO 
2127	Неправильное питание распространенно среди подростков по несколким причинам. 	3	3	распространенно		orpho	15	0	0	0	1	0	0	A=ед 	
2127	Неправильное питание распространенно среди подростков по несколким причинам. 	7	7	несколким		typo, morph	9	0	0	0	1	0	0	A=(дат 	
2129	Даже родители часто не информированы о полезности еды, которая появляется на куханном столе или в школьном обеде. 	12	12	куханном		orpho	8	0	0	0	1	0	0	A=(пр 	
2130	А сля школьников неправильно питаться уже вошло в привычку, и многие из них не видят проблемы в том что они едя	2	2	сля		morph	3	0	0	0	1	0	0	S 	
2130	А сля школьников неправильно питаться уже вошло в привычку, и многие из них не видят проблемы в том что они едя	24	25	картофель фри 	картофель фри- 	orpho	1	0	0	0	3	3	0	S  A=(пр 	S  A=(пр 
2131	Если бы родители знали, что дав своему подростку апельсин или яблоко вместо чипсов или « сникерса», они помогают положить основу для правильного питания на всю его оставшуюся жизнь. 	15	15	сникерса		orpho	8	0	0	0	1	0	0	S 	
2131	Если бы родители знали, что дав своему подростку апельсин или яблоко вместо чипсов или « сникерса», они помогают положить основу для правильного питания на всю его оставшуюся жизнь. 	15	15	сникерса		orpho	8	0	0	0	1	0	0	S 	
2132	Также они могут заменить газерованный напиток, который насыщен сахаром, на простую воду. 	5	5	газерованный		orpho	12	0	0	0	1	0	0	V 	
2133	Многие родители не могут дать таких простых, но очень полезных советов своим детям потому, что они сами этого не знают. 	16	17	они сами 	сами 	ref	4	0	0	0	3	2	0	SPRO  APRO=(им 	APRO=(им 
2136	Когда они пройдут наши курсы, они будут знать ряд полезных блюд. 	6	7	они будут 	то будут 	ref, syntax, syntax	3	0	0	0	3	3	0	SPRO  V 	SPRO  V 
2137	Также, наша рекламная кампания будет рекламировать курсы по обучению подростков, а также их родителей, о том как улучшить качество питания и как избавиться от нездоровых привычек питания. 	6	6	рекламировать		lex	13	0	0	0	1	0	0	V 	
2138	Наши плакаты, рекламирующие курсы и полезные блюда, будут вывешенны в популярных местах, где собираются подростки. 	9	9	вывешенны		orpho	9	0	0	0	1	0	0	A=мн 	
2146	мы добъёмся нашей цели и улутьшим качество жизни в нашей стране. 	2	2	добъёмся		orpho	8	0	0	0	1	0	0	V 	
2146	мы добъёмся нашей цели и улутьшим качество жизни в нашей стране. 	6	6	улутьшим		morph	8	0	0	0	1	0	0	S 	
2148	Любопытность это жажда знания, где мысли сильного интереса переходят в действия. 	5	5	где		syntax	3	0	0	0	1	0	0	ADVPRO= 	
2252	&l	1	4	article		cs	7	0	0	0	1	0	0	 	
2426	В нем говорится об идеях художника Николая Рериха как базы для систем сохранения культуры. 	10	10	базы		gov	4	0	0	0	1	0	0	S 	
2427	Рассматривается Пакт Рериха, в его отношении к Конвенциям ЮНЕСКО. 	5	6	его отношении 	отношении 	ref	4	0	0	0	3	2	0	APRO=(пр  S 	S 
2427	Рассматривается Пакт Рериха, в его отношении к Конвенциям ЮНЕСКО. 	8	8	Конвенциям		orpho	10	0	0	0	1	0	0	S 	
2428	Кроме этого, говорится о Рериховских идеях на тему культурного образования общества. 	5	5	Рериховских		orpho	11	0	0	0	1	0	0	A=(пр 	
2429	Текст объясняет важность сохранения культуры в настоящие время. 	7	7	настоящие		coord	9	0	0	0	1	0	0	A=(вин 	
2438	Человек, который привык к чтению или знаком с многими авторами, будет выбирать литературу, которая ему интересна. 	8	8	с		orpho	1	0	0	0	1	0	0	S 	
2441	У каждого из этих лиц есть свои любимые авторы и даже типы произведений. 	4	5	лиц		lex	3	0	0	0	1	0	0	S 	
2441	У каждого из этих лиц есть свои любимые авторы и даже типы произведений. 	12	12	типы		lex	4	0	0	0	1	0	0	S 	
2476	Моё лицо все в садинах. 	5	5	садинах		orpho	7	0	0	0	1	0	0	S 	
